CS101,Introduction to Programming,3,Dr. Evelyn Reed,FALL,CS
CS102,Data Structures,4,Dr. Evelyn Reed,SPRING,CS
CS201,Algorithms,4,Dr. Ben Carter,FALL,CS
CS305,Operating Systems,3,Dr. Ada Lovelace,SPRING,CS
EE101,Circuit Theory,4,Dr. Nikola Tesla,FALL,EE
EE203,Digital Logic Design,3,Dr. Alan Turing,SPRING,EE
EE251,Signals and Systems,4,Dr. Alan Turing,FALL,EE
ME101,Engineering Mechanics,3,Dr. Isaac Newton,FALL,ME
ME210,Thermodynamics,4,Dr. Isaac Newton,SPRING,ME
ME320,Fluid Dynamics,3,Dr. Isaac Newton,FALL,ME
BBA101,Principles of Management,3,Dr. Peter Drucker,FALL,BBA
BBA102,Microeconomics,3,Dr. Adam Smith,SPRING,BBA
BBA211,Marketing Management,3,Dr. Peter Drucker,FALL,BBA
CS450,Artificial Intelligence,3,Dr. Ada Lovelace,SPRING,CS
EE460,Control Systems,3,Dr. Nikola Tesla,SPRING,EE
